background_id,latitude,longitude,distance_to_road_m,distance_to_river_m,nearest_road_type,nearest_road_name,nearest_road_osm_id,nearest_waterway_type,nearest_waterway_name,nearest_waterway_osm_id,road_search_radius_m,river_search_radius_m,road_extraction_ok,river_extraction_ok,roads_rivers_extraction_ok,osm_source,osm_snapshot_timestamp,distance_method
BG_0076,27.578088563424835,88.2354631074933,16852.837573318793,2466.419352694275,track,,1216096788.0,stream,,134410496.0,30000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-25T21:19:50Z,local equirectangular point-to-polyline
BG_0077,26.55159691970212,92.3175290863292,635.1549518425339,1878.3838609615589,track,,987512982.0,river,,155294107.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T23:42:51Z,local equirectangular point-to-polyline
BG_0078,27.089620266555155,94.44408100137568,808.4475806392003,352.4816026300986,track,,1077610008.0,river,,329497126.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T23:42:51Z,local equirectangular point-to-polyline
BG_0079,25.13032357111863,92.69815486766186,7372.291369408976,807.0195104971014,track,,1320181686.0,river,,1362305199.0,15000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:33:35Z,local equirectangular point-to-polyline
BG_0080,26.58188090909644,91.26095436076476,439.904814303849,3657.569097277024,tertiary,,609803328.0,river,Kaldiya Nadi,226720356.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:33:35Z,local equirectangular point-to-polyline
BG_0081,27.6265355551446,88.70781665597707,835.7985535640018,713.9519274000505,tertiary,,117990926.0,river,Lachung Chu,170015107.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:34:36Z,local equirectangular point-to-polyline
BG_0082,26.797765467040296,91.15998489457428,4910.54812677301,409.5860147350408,secondary,Nganglam-Panbang Secondary Highway,499973869.0,river,,1535904097.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:34:36Z,local equirectangular point-to-polyline
BG_0083,26.217331550502525,92.27429553217588,485.80330218266016,2356.983901038204,trunk,,284804891.0,stream,,1303505503.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:35:36Z,local equirectangular point-to-polyline
BG_0084,23.26773200714715,91.64124396378844,2351.22870082638,2577.789004840307,unclassified,,1215175079.0,river,Muhuri River,819658962.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:35:36Z,local equirectangular point-to-polyline
BG_0085,25.25605875339666,94.49048994958554,372.116674475764,1463.032549079549,unclassified,,1463685168.0,river,,329633832.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-05T05:36:36Z,local equirectangular point-to-polyline
