threshold,f1,f2,precision,recall
0.725,0.8031496062992126,0.7527348498003126,0.9040667361835245,0.7225
0.73,0.8024118738404453,0.7513898540653231,0.9048117154811716,0.7208333333333333
0.735,0.798510935318753,0.7462167333449296,0.9041095890410958,0.715
0.74,0.7977632805219013,0.744865993734772,0.904862579281184,0.7133333333333334
0.7449999999999999,0.7955182072829131,0.741901776384535,0.9044585987261147,0.71
0.7499999999999999,0.7913736521331458,0.7360893075178789,0.9046087888531619,0.7033333333333334
0.7549999999999999,0.7908067542213884,0.7353454291695743,0.9045064377682404,0.7025
0.7599999999999999,0.7885068299576071,0.7312598287611393,0.9068255687973997,0.6975
0.7649999999999999,0.786017949929145,0.7276543641770159,0.9073064340239912,0.6933333333333334
0.7699999999999999,0.7875059157595835,0.7281638368632942,0.9112814895947426,0.6933333333333334
0.7749999999999999,0.785781990521327,0.7259194395796847,0.910989010989011,0.6908333333333333
0.7799999999999999,0.784629981024668,0.7244218640504555,0.9107929515418502,0.6891666666666667
0.7849999999999999,0.7826913932477413,0.7215500613712081,0.9114064230343301,0.6858333333333333
0.7899999999999999,0.7814885496183206,0.7189255617977528,0.9140625,0.6825
0.7949999999999999,0.7779904306220096,0.7144112478031635,0.9134831460674158,0.6775
0.7999999999999999,0.7760191846522781,0.7115215479331575,0.9141242937853107,0.6741666666666667
0.8049999999999999,0.7734487734487735,0.7078711040676176,0.9146757679180887,0.67
0.8099999999999999,0.7714561234329798,0.7049700387733522,0.9153318077803204,0.6666666666666666
0.815,0.7692307692307693,0.7014293276866067,0.916955017301038,0.6625
0.82,0.7660194174757281,0.6969964664310954,0.9174418604651163,0.6575
0.825,0.7639902676399026,0.6940760389036251,0.9181286549707602,0.6541666666666667
0.83,0.7601367855398143,0.688861342305649,0.9185360094451004,0.6483333333333333
0.835,0.7583170254403131,0.6865698086463501,0.9182464454976303,0.6458333333333334
0.84,0.7568627450980392,0.6843971631205674,0.919047619047619,0.6433333333333333
0.845,0.7531956735496559,0.6798012069577565,0.9184652278177458,0.6383333333333333
0.8499999999999999,0.7495069033530573,0.6751954513148543,0.9178743961352657,0.6333333333333333
0.8549999999999999,0.7467853610286844,0.6714692280327286,0.9184914841849149,0.6291666666666667
0.8599999999999999,0.7440476190476191,0.6677350427350427,0.9191176470588235,0.625
0.8649999999999999,0.7417746759720838,0.6635747413485551,0.9230769230769231,0.62
0.8699999999999999,0.7408886669995007,0.6621452793146528,0.9240348692403487,0.6183333333333333
0.8749999999999999,0.7344064386317908,0.6531853972798854,0.9263959390862944,0.6083333333333333
0.8799999999999999,0.7324937027707809,0.6508504923903312,0.9261146496815287,0.6058333333333333
