pair_id,state,event_date,positive_rainfall_24h_mm,background_rainfall_24h_mm,delta_rainfall_24h_mm,positive_rainfall_72h_mm,background_rainfall_72h_mm,delta_rainfall_72h_mm,positive_rainfall_7d_mm,background_rainfall_7d_mm,delta_rainfall_7d_mm,positive_rain_prev_48h_mm,background_rain_prev_48h_mm,delta_rain_prev_48h_mm,positive_rain_prev_4d_mm,background_rain_prev_4d_mm,delta_rain_prev_4d_mm,positive_ratio_24_to_72,background_ratio_24_to_72,delta_ratio_24_to_72,positive_ratio_72_to_7d,background_ratio_72_to_7d,delta_ratio_72_to_7d
1057780,Manipur,2015-08-01,2.49,3.7,-1.21,108.85,100.7,8.149999999999991,127.86,118.29,9.569999999999993,106.36,97.0,9.36,19.010000000000005,17.590000000000003,1.4200000000000017,0.02287551676619201,0.036742800397219465,-0.013867283631027454,0.8513217581730017,0.8512976582974047,2.4099875597038967e-05
1057923,Manipur,2015-08-01,0.91,8.7,-7.789999999999999,101.57999999999998,110.35,-8.77000000000001,121.42,129.76999999999998,-8.34999999999998,100.66999999999999,101.64999999999999,-0.980000000000004,19.840000000000018,19.419999999999987,0.4200000000000301,0.008958456389052965,0.07884005437245128,-0.06988159798339832,0.8366002306045132,0.8503506203282731,-0.01375038972375997
1057820,Manipur,2015-08-01,0.77,3.7,-2.93,68.62,100.7,-32.08,84.89000000000001,118.29,-33.39999999999999,67.85000000000001,97.0,-29.14999999999999,16.27000000000001,17.590000000000003,-1.3199999999999932,0.011221218303701545,0.036742800397219465,-0.02552158209351792,0.808340204971139,0.8512976582974047,-0.04295745332626566
1050841,Manipur,2015-08-11,1.78,1.62,0.15999999999999992,24.43,29.540000000000003,-5.110000000000003,71.95,76.66,-4.709999999999994,22.65,27.92,-5.270000000000003,47.52,47.11999999999999,0.4000000000000128,0.07286123618501843,0.05484089370345294,0.018020342481565484,0.33954134815844333,0.3853378554656927,-0.04579650730724938
1050762,Manipur,2015-08-11,8.77,0.72,8.049999999999999,35.93,21.8,14.129999999999999,85.22999999999999,67.8,17.429999999999993,27.16,21.080000000000002,6.079999999999998,49.29999999999999,46.0,3.29999999999999,0.24408572223768438,0.03302752293577981,0.21105819930190456,0.4215651765810161,0.32153392330383485,0.10003125327718126
1050771,Manipur,2015-08-11,7.18,1.62,5.56,36.89,29.540000000000003,7.349999999999998,80.47999999999999,76.66,3.819999999999993,29.71,27.92,1.7899999999999991,43.58999999999999,47.11999999999999,-3.530000000000001,0.19463269178639198,0.05484089370345294,0.13979179808293904,0.4583747514910537,0.3853378554656927,0.07303689602536101
1048527,Assam,2015-08-22,5.79,4.42,1.37,63.86,70.45,-6.590000000000003,154.29,153.52999999999997,0.7600000000000193,58.07,66.03,-7.960000000000001,90.42999999999999,83.07999999999997,7.350000000000023,0.09066708424678985,0.06273953158268275,0.027927552664107097,0.41389591029878803,0.4588679736859247,-0.04497206338713666
1050683,Mizoram,2015-08-26,6.27,2.74,3.5299999999999994,10.77,4.43,6.34,42.6,57.96999999999999,-15.36999999999999,4.5,1.6899999999999995,2.8100000000000005,31.830000000000002,53.53999999999999,-21.70999999999999,0.5821727019498607,0.6185101580135441,-0.03633745606368344,0.2528169014084507,0.07641883732965328,0.17639806407879743
1050618,Mizoram,2015-08-26,3.42,2.27,1.15,4.91,5.33,-0.41999999999999993,47.66,41.57,6.089999999999996,1.4900000000000002,3.06,-1.5699999999999998,42.75,36.24,6.509999999999998,0.6965376782077393,0.425891181988743,0.2706464962189963,0.10302140159462864,0.128217464517681,-0.025196062923052376
1050578,Mizoram,2015-08-27,5.15,5.48,-0.33000000000000007,9.820000000000002,9.52,0.3000000000000025,31.83,37.7,-5.8700000000000045,4.670000000000002,4.039999999999999,0.6300000000000026,22.009999999999998,28.180000000000003,-6.170000000000005,0.5244399185336048,0.5756302521008404,-0.05119033356723557,0.3085139805215207,0.2525198938992042,0.055994086622316475
